experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,58,0,B,78.92606293926963,51.30992773442918,3.9463031469634813,0.8059744601335295,A,2264,Incorrect
2,new_learn,58,1,B,70.76191944789498,54.46866070223067,3.538095972394749,0.8555917215650146,B,970,Correct
2,new_learn,58,2,A,11.360051312561133,37.87683431600322,0.5680025656280566,0.5949679221419675,A,365,Correct
2,new_learn,58,3,A,68.99501941270016,86.97834639006197,3.4497509706350082,1.3662526702020348,A,417,Correct
2,new_learn,58,4,A,36.40621107578473,58.26294561351139,1.8203105537892368,0.9151922095795453,B,318,Incorrect
2,new_learn,58,5,B,49.97883322419064,42.32682164979365,2.498941661209532,0.6648681597239856,A,1258,Incorrect
2,new_learn,58,6,B,63.2558188456275,34.04537622405379,3.1627909422813754,0.53478351917094,B,779,Correct
2,new_learn,58,7,A,42.110510368604785,74.35772872854369,2.1055255184302393,1.168008471556078,A,1007,Correct
2,new_learn,58,8,A,30.995758003958368,53.17408119177567,1.5497879001979182,0.8352565141673481,B,1635,Incorrect
2,new_learn,58,9,B,60.42463450258938,39.670201820133855,3.021231725129469,0.6231380730227848,A,802,Incorrect
2,new_learn,58,10,A,34.572759487214924,67.6287770896572,1.728637974360746,1.0623103463806438,A,2629,Correct
2,new_learn,58,11,A,31.66791894072034,51.29346988287182,1.583395947036017,0.805715940805797,B,1040,Incorrect
2,new_learn,58,12,A,28.877980518774365,61.49874108506515,1.4438990259387183,0.9660199659893073,A,1056,Correct
2,new_learn,58,13,B,62.93749586740998,46.577748150488596,3.146874793370499,0.7316415570516527,B,1075,Correct
2,new_learn,58,14,B,46.35049828421486,17.146777068525722,2.317524914210743,0.26934094435611167,A,838,Incorrect
2,new_learn,58,15,A,57.74272491823852,71.68247172982494,2.8871362459119263,1.1259856328878803,B,792,Incorrect
2,new_learn,58,16,B,72.65839519373621,45.48139602772857,3.6329197596868106,0.7144200981786004,A,1242,Incorrect
2,new_learn,58,17,B,50.251669457631785,27.52409228271923,2.5125834728815892,0.43234743056059133,B,834,Correct
2,new_learn,58,18,B,46.2457842237792,33.76005589548587,2.31228921118896,0.5303017179301961,A,1904,Incorrect
2,new_learn,58,19,B,65.417250692289,40.75029192291245,3.27086253461445,0.6401040886833061,B,825,Correct
2,new_learn,58,20,B,45.67541544973505,16.723381200844795,2.2837707724867524,0.2626902576187783,B,1719,Correct
2,new_learn,58,21,A,65.73318530635086,81.79858865452786,3.286659265317543,1.2848892259553906,A,2174,Correct
2,new_learn,58,22,B,36.53769329544142,15.767371197033476,1.826884664772071,0.24767328759511836,B,1331,Correct
2,new_learn,58,23,B,80.50300923317758,64.71375686431973,4.025150461658879,1.0165213157557147,B,1102,Correct
