experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,50,0,A,46.596916525754835,62.988290327198264,2.329845826287742,0.9894177507705355,B,1267,Incorrect
2,new_learn,50,1,B,47.636074291466386,28.87772375280137,2.3818037145733193,0.4536102239709813,B,924,Correct
2,new_learn,50,2,A,39.925422466545626,55.22642977007346,1.9962711233272814,0.867494730248277,B,762,Incorrect
2,new_learn,50,3,B,82.45228182925499,59.133961710121454,4.122614091462749,0.9288740984308884,B,2799,Correct
2,new_learn,50,4,A,61.470443625002005,84.27323827255992,3.0735221812501003,1.3237609312564822,B,1847,Incorrect
2,new_learn,50,5,B,54.75487510778357,25.56460464491019,2.737743755389179,0.40156787072188677,B,1489,Correct
2,new_learn,50,6,B,76.2193515573765,45.9812165977367,3.810967577868825,0.7222712613328534,A,728,Incorrect
2,new_learn,50,7,A,49.61026753942347,74.21079969686987,2.480513376971173,1.16570051572355,A,1252,Correct
2,new_learn,50,8,B,36.058151868422826,14.572550857883048,1.8029075934211414,0.2289050935959451,B,1875,Correct
2,new_learn,50,9,B,77.79831089436944,56.92198927243841,3.8899155447184715,0.8941285166300476,B,3266,Correct
2,new_learn,50,10,A,44.78100769671767,73.33896361326123,2.2390503848358834,1.152005746546553,A,2335,Correct
2,new_learn,50,11,B,32.58025811305791,13.013117141408426,1.6290129056528955,0.20440956605876062,B,1108,Correct
2,new_learn,50,12,B,56.65475834792985,42.055657530150974,2.8327379173964924,0.6606087236930527,B,1081,Correct
2,new_learn,50,13,B,63.94813164175225,53.739596230423736,3.1974065820876127,0.8441396036219048,B,1081,Correct
2,new_learn,50,14,B,33.91387979816038,16.774577182393553,1.6956939899080192,0.26349444221641277,A,1888,Incorrect
2,new_learn,50,15,A,12.429721151283612,35.802887786431626,0.6214860575641806,0.5623904462357665,A,5459,Correct
2,new_learn,50,16,B,82.83592902471356,62.88811528702584,4.141796451235678,0.9878442049191417,B,1626,Correct
2,new_learn,50,17,B,57.32951035257718,38.80000245366888,2.8664755176288588,0.6094690133385605,B,2100,Correct
2,new_learn,50,18,A,48.552130763928346,57.62681157458716,2.427606538196417,0.9051998394626314,B,1006,Incorrect
2,new_learn,50,19,A,29.063106498949942,38.46634890798641,1.453155324947497,0.6042279956987593,A,3166,Correct
2,new_learn,50,20,B,60.422463816991865,31.28837667072451,3.0211231908495932,0.4914766714574919,B,1648,Correct
2,new_learn,50,21,A,60.405289645035936,72.31057260867159,3.0202644822517972,1.13585181842137,B,2627,Incorrect
2,new_learn,50,22,A,46.833904777548675,75.33302897918847,2.3416952388774335,1.1833284520684275,A,698,Correct
2,new_learn,50,23,A,21.50068727214934,35.4798264232241,1.0750343636074668,0.5573158102092093,A,1511,Correct
2,new_learn,50,24,B,57.776216729996214,31.44099498781857,2.8888108364998106,0.49387399437642165,B,1467,Correct
2,new_learn,50,25,B,38.627568607563184,28.11885363723566,1.9313784303781592,0.44168992007053093,A,6978,Incorrect
2,new_learn,50,26,B,37.48571020683654,22.125446402263893,1.874285510341827,0.3475456993737348,B,1194,Correct
2,new_learn,50,27,A,55.09395578518013,64.68391221288911,2.7546977892590063,1.0160525170672976,B,2920,Incorrect
2,new_learn,50,28,A,42.611843935179884,64.40108073440673,2.130592196758994,1.0116098105922768,B,2219,Incorrect
2,new_learn,50,29,A,44.72336775324047,56.26806141262485,2.2361683876620235,0.8838566418282079,A,835,Correct
2,new_learn,50,30,A,45.45062672869095,74.33352491040188,2.2725313364345476,1.1676282788697623,A,470,Correct
2,new_learn,50,31,B,71.75816135054534,55.353562924309436,3.5879080675272665,0.8694917331651545,B,1158,Correct
2,new_learn,50,32,B,79.0343512412293,61.296867506615314,3.951717562061465,0.962848943234248,B,714,Correct
2,new_learn,50,33,A,49.89634746814153,68.48179626345632,2.494817373407076,1.0757095402295367,B,684,Incorrect
2,new_learn,50,34,A,28.480358379718787,51.175189495610816,1.4240179189859392,0.8038579968273823,A,847,Correct
2,new_learn,50,35,A,15.186180657088904,40.345040980932424,0.7593090328544452,0.6337384217723823,A,697,Correct
2,new_learn,50,36,B,82.07160848216361,61.16549502816358,4.103580424108181,0.9607853491683087,B,901,Correct
2,new_learn,50,37,B,40.731991111430204,13.173945101876871,2.0365995555715104,0.20693584575425805,A,3863,Incorrect
2,new_learn,50,38,B,36.93348288430197,24.312654931442857,1.8466741442150982,0.38190229060942266,B,1271,Correct
2,new_learn,50,39,A,43.23284580162103,70.23403676923792,2.1616422900810517,1.1032336697309664,B,1954,Incorrect
2,new_learn,50,40,A,34.39141539381891,50.05054501972103,1.7195707696909455,0.7861921227106039,A,8935,Correct
2,new_learn,50,41,B,44.85191274660866,30.12822301891856,2.242595637330433,0.47325302050974727,B,1575,Correct
2,new_learn,50,42,B,32.32136343804941,18.140425275722443,1.6160681719024705,0.2849491338960211,B,5091,Correct
2,new_learn,50,43,A,18.699562563740525,45.34599425997496,0.9349781281870263,0.7122932121843113,A,1345,Correct
2,new_learn,50,44,A,57.02690797874857,70.7370508742827,2.851345398937428,1.11113499681627,B,2171,Incorrect
2,new_learn,50,45,B,57.35292326735661,31.570160336260244,2.8676461633678305,0.4959029189252353,B,994,Correct
2,new_learn,50,46,B,60.44484243846892,33.78276139573998,3.022242121923446,0.530658375094168,B,1080,Correct
2,new_learn,50,47,A,63.420590901670664,81.13103679850306,3.1710295450835333,1.2744033459215018,A,689,Correct
2,new_learn,50,48,B,69.2210902187695,56.86918569699366,3.4610545109384754,0.8932990800065451,A,691,Incorrect
2,new_learn,50,49,A,33.08404197101091,64.25506994993728,1.6542020985505457,1.009316278553106,B,2752,Incorrect
2,new_learn,50,50,B,67.8075927632834,39.95938839179727,3.39037963816417,0.6276806050680579,B,3181,Correct
2,new_learn,50,51,A,34.714640298014444,61.205974810022134,1.7357320149007223,0.9614212040948373,B,997,Incorrect
2,new_learn,50,52,A,64.4684339290169,79.58031263014972,3.2234216964508446,1.2500446276462869,B,800,Incorrect
2,new_learn,50,53,B,33.782100433257085,11.841009448055406,1.6891050216628543,0.18599814146549096,B,2116,Correct
2,new_learn,50,54,B,70.9892315904565,61.457431770722124,3.549461579522825,0.9653710807969829,B,3353,Correct
2,new_learn,50,55,B,68.84609632631206,48.601321212655364,3.4423048163156036,0.7634277683821793,B,2183,Correct
2,new_learn,50,56,A,44.762642599232386,66.85884742649303,2.238132129961619,1.0502163195127567,A,623,Correct
2,new_learn,50,57,B,60.251509666662315,49.506884403081244,3.0125754833331153,0.7776523217141957,A,743,Incorrect
2,new_learn,50,58,B,55.57840204692101,37.31752950381213,2.778920102346051,0.5861823826964828,B,626,Correct
2,new_learn,50,59,A,66.44606393009197,89.86332548594984,3.322303196504598,1.4115698158690422,A,1381,Correct
2,new_learn,50,60,B,38.681259606302056,27.893975523220185,1.9340629803151028,0.4381575429158102,B,3480,Correct
2,new_learn,50,61,B,55.72002612438315,31.93968237098069,2.7860013062191573,0.5017073574733218,B,1033,Correct
2,new_learn,50,62,A,28.071978529099248,53.97531484906963,1.4035989264549624,0.8478422630251662,A,1264,Correct
2,new_learn,50,63,B,49.93273412399487,31.860665418534875,2.496636706199743,0.5004661620867576,B,4092,Correct
2,new_learn,50,64,B,61.64841568332127,43.331846392126955,3.082420784166063,0.6806550514599371,B,3783,Correct
2,new_learn,50,65,A,27.995674195443762,41.32226674413679,1.3997837097721881,0.6490886481652898,A,1714,Correct
2,new_learn,50,66,B,70.5702770479239,56.18046350115253,3.528513852396195,0.8824806570524515,B,964,Correct
