experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,62,0,A,22.457457506188046,50.79265618016351,1.1228728753094024,0.7978491775595695,B,16010,Incorrect
2,new_learn,62,1,A,50.87208788636404,76.65757725572482,2.5436043943182023,1.2041344077428855,B,2037,Incorrect
2,new_learn,62,2,B,53.57073486762389,37.142591653668276,2.6785367433811946,0.5834344653722492,A,7557,Incorrect
2,new_learn,62,3,B,76.04227344022084,43.50435129825853,3.802113672011042,0.6833647521889928,B,3180,Correct
2,new_learn,62,4,B,67.74524503729022,55.67790989870584,3.387262251864511,0.8745865635250435,A,3695,Incorrect
2,new_learn,62,5,A,11.414710278822518,32.101297452546234,0.5707355139411259,0.5042460012380999,B,3504,Incorrect
2,new_learn,62,6,A,42.48368226804853,66.90682468720749,2.1241841134024266,1.0509699445617562,B,5659,Incorrect
2,new_learn,62,7,A,17.39355367566146,37.268160474462505,0.8696776837830731,0.5854068957968845,B,14782,Incorrect
2,new_learn,62,8,A,56.64040362009202,82.64997914371293,2.832020181004601,1.2982628364861908,B,2531,Incorrect
2,new_learn,62,9,B,60.49768166221074,33.96996353963869,3.0248840831105372,0.5335989394942101,A,1114,Incorrect
2,new_learn,62,10,A,32.5494572446484,50.086596634609805,1.6274728622324202,0.7867584201530271,A,2006,Correct
2,new_learn,62,11,B,63.753953259173876,42.554111662238576,3.1876976629586937,0.6684384228906423,A,1011,Incorrect
2,new_learn,62,12,B,75.12427053456203,49.30592051845402,3.7562135267281014,0.7744955883962868,B,1905,Correct
2,new_learn,62,13,B,48.86559273899434,24.882952140297494,2.443279636949717,0.39086049821792507,A,951,Incorrect
2,new_learn,62,14,B,65.68512617458425,40.685549920057554,3.2842563087292125,0.6390871236805681,B,4026,Correct
2,new_learn,62,15,B,65.20079502435945,42.41504633402507,3.260039751217972,0.6662539898232193,A,7010,Incorrect
2,new_learn,62,16,B,36.615393352658096,22.605036244948543,1.8307696676329046,0.35507907900630675,B,1473,Correct
2,new_learn,62,17,B,61.830864520611144,50.18401493336275,3.0915432260305575,0.7882886632114645,B,1632,Correct
2,new_learn,62,18,A,18.860624570442855,44.273870782928654,0.9430312285221427,0.6954523359881623,B,729,Incorrect
2,new_learn,62,19,A,47.80528629075499,61.61578716273927,2.39026431453775,0.9678585214780698,B,2299,Incorrect
2,new_learn,62,20,B,51.72001590583149,22.182341275655766,2.5860007952915742,0.348439401955109,B,1039,Correct
2,new_learn,62,21,A,23.692906227065798,45.81051945042958,1.18464531135329,0.7195899568130095,A,5058,Correct
2,new_learn,62,22,B,46.32691375602113,33.73101212480797,2.316345687801056,0.5298454994472248,B,1220,Correct
2,new_learn,62,23,A,31.954499500922346,41.151505303634686,1.597724975046117,0.6464063337303008,B,1140,Incorrect
2,new_learn,62,24,A,40.865465342168314,57.68734205861236,2.0432732671084155,0.9061506500822905,B,1740,Incorrect
2,new_learn,62,25,A,63.039757200095366,77.25877332929974,3.1519878600047684,1.2135779735834358,A,1488,Correct
2,new_learn,62,26,B,88.90914952137916,63.21831707209448,4.445457476068958,0.9930310024300111,A,988,Incorrect
2,new_learn,62,27,A,62.59191378329002,88.34391558788982,3.129595689164501,1.3877029810013575,B,1408,Incorrect
2,new_learn,62,28,A,58.47393957025443,78.47530776178456,2.923696978512721,1.2326872517631022,B,2051,Incorrect
2,new_learn,62,29,B,69.3000359618876,40.55809983025577,3.46500179809438,0.6370851423514649,A,1099,Incorrect
2,new_learn,62,30,B,36.61548698262804,13.699216129905682,1.8307743491314021,0.21518678376825248,A,1406,Incorrect
2,new_learn,62,31,B,84.37763270647586,56.73384974876203,4.218881635323793,0.8911732279028897,B,1087,Correct
2,new_learn,62,32,B,51.16761555575215,24.605585049610795,2.5583807777876073,0.3865036261456807,B,5379,Correct
2,new_learn,62,33,B,63.57838985791233,38.751146537234526,3.1789194928956164,0.6087015863977877,B,1786,Correct
2,new_learn,62,34,B,55.50080245897697,32.23556309473213,2.775040122948848,0.5063550410137037,A,2563,Incorrect
2,new_learn,62,35,B,82.50856323444779,52.3297697914476,4.12542816172239,0.8219941017042843,A,1070,Incorrect
2,new_learn,62,36,A,39.45872220859077,47.49159323082229,1.9729361104295384,0.7459962020061303,A,1459,Correct
2,new_learn,62,37,A,31.847359396032793,42.46830431747625,1.5923679698016397,0.6670905642709954,B,1511,Incorrect
2,new_learn,62,38,B,37.301215781922274,20.186944269095733,1.8650607890961137,0.31709577907108866,B,867,Correct
2,new_learn,62,39,A,31.98961058095852,61.30489704672414,1.5994805290479261,0.9629750709553359,A,806,Correct
2,new_learn,62,40,B,80.98422198485873,50.51635333409047,4.049211099242936,0.7935090226026245,B,841,Correct
2,new_learn,62,41,A,23.77819854388009,53.209710952502185,1.1889099271940047,0.8358161851400863,A,1676,Correct
2,new_learn,62,42,B,49.20453211522502,27.6788129184254,2.460226605761251,0.4347777766230575,B,2560,Correct
2,new_learn,62,43,A,41.015424026849765,61.72196514343428,2.050771201342488,0.9695263612986921,B,1286,Incorrect
2,new_learn,62,44,A,38.129088907122295,48.83819508381744,1.906454445356115,0.7671485744495301,B,2687,Incorrect
2,new_learn,62,45,B,57.61229308131138,26.291015678654716,2.880614654065569,0.4129783085573786,B,1330,Correct
2,new_learn,62,46,A,29.746606039664762,59.96698681520794,1.487330301983238,0.9419592261828662,A,1320,Correct
2,new_learn,62,47,B,58.64675911100237,42.26399459041492,2.9323379555501186,0.6638812745830314,B,1129,Correct
2,new_learn,62,48,A,22.216728736663104,52.01910814682956,1.1108364368331551,0.8171142400018635,A,2019,Correct
2,new_learn,62,49,A,44.092934358528446,51.61063087141395,2.204646717926422,0.8106978939638433,B,1583,Incorrect
2,new_learn,62,50,B,43.508731557684015,17.692929328965878,2.175436577884201,0.27791988400181294,B,986,Correct
2,new_learn,62,51,A,22.630095970389394,34.70419043415099,1.1315047985194697,0.5451321485835496,B,1951,Incorrect
2,new_learn,62,52,B,41.61820158371532,18.162041804262316,2.0809100791857658,0.2852886855323061,B,1529,Correct
2,new_learn,62,53,A,24.4728665582166,35.33477747047549,1.22364332791083,0.5550373865873796,A,3326,Correct
2,new_learn,62,54,B,42.3834836645549,13.95761337514094,2.119174183227745,0.21924567820494711,B,862,Correct
2,new_learn,62,55,B,47.97967104748347,37.03703666257265,2.3989835523741734,0.5817764114493704,B,1359,Correct
2,new_learn,62,56,A,43.95132511889042,57.95795743899378,2.1975662559445213,0.9104014665370637,B,1600,Incorrect
2,new_learn,62,57,A,20.320556077751032,41.67714491071858,1.0160278038875517,0.6546630613705536,A,2091,Correct
2,new_learn,62,58,B,55.94402445738752,30.74772972796631,2.797201222869376,0.48298420913971724,B,1092,Correct
2,new_learn,62,59,B,44.24183344447087,18.231479752617346,2.2120916722235435,0.2863794142744685,B,753,Correct
2,new_learn,62,60,A,42.912154468529025,51.699737175751345,2.1456077234264512,0.8120975725193178,B,2014,Incorrect
2,new_learn,62,61,B,45.75288469226278,22.55709604403747,2.2876442346131394,0.3543260360913375,B,948,Correct
2,new_learn,62,62,A,19.63775165636495,44.360635037566794,0.9818875828182476,0.696815225712989,A,1148,Correct
2,new_learn,62,63,A,47.095133620245505,59.1621393165508,2.3547566810122755,0.9293167112376592,B,922,Incorrect
2,new_learn,62,64,A,23.45243185544985,49.60407186440627,1.1726215927724923,0.7791789387867945,A,675,Correct
2,new_learn,62,65,A,36.11580725801478,44.44043246216295,1.8057903629007392,0.6980686807274225,B,986,Incorrect
2,new_learn,62,66,B,59.38970839916847,42.478095822653074,2.9694854199584233,0.6672443688746509,B,694,Correct
2,new_learn,62,67,A,53.1132088550325,74.54365604820251,2.655660442751625,1.1709290110637867,B,642,Incorrect
2,new_learn,62,68,A,50.36482012114736,60.34902992600787,2.518241006057368,0.9479603453340846,A,2226,Correct
2,new_learn,62,69,A,19.886085420822006,50.031803458057844,0.9943042710411004,0.7858977309484148,A,739,Correct
2,new_learn,62,70,B,46.81064087737775,26.012409206241664,2.3405320438688877,0.4086019683225015,B,1394,Correct
2,new_learn,62,71,B,35.07537391498849,10.820709377238195,1.7537686957494245,0.16997130543080852,B,1514,Correct
2,new_learn,62,72,B,70.45670009407925,52.01176521918596,3.5228350047039623,0.8169988975641587,B,2444,Correct
2,new_learn,62,73,A,36.75285704039619,60.87034377452326,1.8376428520198091,0.9561491241176374,A,1700,Correct
2,new_learn,62,74,B,64.92163456506536,50.780170308596425,3.2460817282532677,0.7976530499476253,B,1187,Correct
