experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,78,0,B,46.846201818501264,32.40595511766358,2.3423100909250634,0.5090315526510623,A,782,Incorrect
2,new_learn,78,1,A,56.73888371312557,73.96026064484579,2.8369441856562783,1.161765057497169,B,846,Incorrect
2,new_learn,78,2,A,29.478379965472747,54.62700313183246,1.4739189982736374,0.8580789586329572,B,1947,Incorrect
2,new_learn,78,3,A,59.2374857955722,85.23735899370946,2.96187428977861,1.3389053041301675,A,1089,Correct
2,new_learn,78,4,B,72.94629791182233,57.78952421029527,3.6473148955911165,0.9077557235675655,A,1604,Incorrect
2,new_learn,78,5,A,35.11214049048243,66.41643709287496,1.7556070245241215,1.043266954242923,B,1923,Incorrect
2,new_learn,78,6,A,43.128975035205556,63.4864667812014,2.1564487517602777,0.9972430882109738,A,1242,Correct
2,new_learn,78,7,B,58.81636387476017,40.25373837435407,2.9408181937380085,0.6323042437819815,A,1401,Incorrect
2,new_learn,78,8,A,57.41240474417572,85.59424924854235,2.8706202372087857,1.3445113231437715,B,1076,Incorrect
2,new_learn,78,9,B,67.05881912266705,53.25201683225512,3.3529409561333523,0.8364807243452634,A,9542,Incorrect
2,new_learn,78,10,A,45.397984590896044,76.24351337269229,2.2698992295448024,1.1976303074776262,B,21287,Incorrect
2,new_learn,78,11,A,57.24248274227949,84.72190118434469,2.8621241371139745,1.3308085117944883,B,787,Incorrect
2,new_learn,78,12,A,60.645500111665555,72.12841622196662,3.032275005583278,1.132990512589986,A,626,Correct
2,new_learn,78,13,A,37.65870188416466,49.10791828269649,1.8829350942082328,0.771385376550036,A,808,Correct
2,new_learn,78,14,B,70.03542875499035,55.9329485816686,3.5017714377495173,0.8785927017889287,A,617,Incorrect
2,new_learn,78,15,A,35.9870406565761,55.63162065963879,1.7993520328288048,0.8738594538580768,A,472,Correct
2,new_learn,78,16,A,29.67253570176723,59.06460168496893,1.4836267850883615,0.9277845937035285,A,670,Correct
2,new_learn,78,17,B,61.074663149418384,43.3378311833285,3.0537331574709192,0.6807490603402973,B,529,Correct
2,new_learn,78,18,A,39.914936660114314,67.6270968282188,1.9957468330057155,1.0622839528956889,A,811,Correct
2,new_learn,78,19,B,79.83054937659713,60.822493111238565,3.9915274688298563,0.9553974876564144,B,489,Correct
2,new_learn,78,20,A,17.602322162320792,37.291722341383604,0.8801161081160396,0.5857770047370054,A,737,Correct
2,new_learn,78,21,B,73.67189820831604,63.648878599695024,3.683594910415802,0.9997942470901525,B,653,Correct
2,new_learn,78,22,A,20.277812211400914,51.904536454624825,1.0138906105700456,0.8153145520691649,A,535,Correct
2,new_learn,78,23,A,69.02740990013648,83.94717900719247,3.451370495006824,1.318639204292916,B,582,Incorrect
2,new_learn,78,24,B,40.46080339966812,23.82704965604773,2.023040169983406,0.3742744207807938,A,1412,Incorrect
2,new_learn,78,25,A,30.122369374534976,55.21233605433865,1.5061184687267488,0.8672733466792057,A,576,Correct
2,new_learn,78,26,A,33.5585090076848,42.58889138862962,1.6779254503842398,0.6689847415552621,A,524,Correct
2,new_learn,78,27,B,79.15968642294989,59.623512991668846,3.9579843211474945,0.9365639519792123,B,598,Correct
2,new_learn,78,28,B,51.723969085224724,27.323401059297424,2.586198454261236,0.42919498019488184,B,818,Correct
2,new_learn,78,29,B,53.5982944716587,30.52044810163718,2.679914723582935,0.4794140777018595,B,482,Correct
2,new_learn,78,30,B,56.69298536250108,30.13591160572769,2.834649268125054,0.4733737925489275,B,544,Correct
2,new_learn,78,31,B,63.915457548232624,44.83830543227431,3.195772877411631,0.7043184547272414,B,382,Correct
2,new_learn,78,32,A,40.25819484161142,71.88860853196748,2.012909742080571,1.1292236222041079,A,1608,Correct
2,new_learn,78,33,A,14.637234062573757,30.36824238287245,0.7318617031286878,0.47702323586233136,A,1083,Correct
2,new_learn,78,34,B,55.87039378099846,41.0192358717365,2.793519689049923,0.6443286503525715,B,580,Correct
2,new_learn,78,35,A,42.68530160223744,73.6282768297322,2.134265080111872,1.1565502679238113,A,1734,Correct
2,new_learn,78,36,B,70.73344726246512,38.526694563137596,3.536672363123256,0.6051759030332545,B,681,Correct
2,new_learn,78,37,A,63.833483156845304,74.23560991646391,3.1916741578422654,1.1660902337416033,A,829,Correct
2,new_learn,78,38,B,54.67572339940358,26.516633805315994,2.733786169970179,0.4165223098035575,B,1049,Correct
2,new_learn,78,39,B,64.41717568109367,47.56736478948025,3.2208587840546836,0.7471864188662849,B,1073,Correct
2,new_learn,78,40,B,73.09744907301163,41.95816716185369,3.654872453650581,0.6590773485688602,B,766,Correct
