experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,69,0,A,42.05490427665821,68.66236110934635,2.1027452138329106,1.07854584619626,B,1649,Incorrect
2,relearn,69,1,B,51.019129128601016,40.72643988522578,2.550956456430051,0.6397294217514582,A,1704,Incorrect
2,relearn,69,2,A,31.5952674341084,44.20761438640825,1.57976337170542,0.6944115829453531,A,1308,Correct
2,relearn,69,3,A,13.06154539140104,36.967900658201486,0.653077269570052,0.5806904256322154,A,1000,Correct
2,relearn,69,4,B,75.6440067355372,48.482373339844465,3.7822003367768606,0.7615593395652651,B,676,Correct
2,relearn,69,5,B,43.7783989367537,16.729260909376276,2.1889199468376854,0.2627826158644171,B,1552,Correct
2,relearn,69,6,B,72.26328928388249,41.82519020743526,3.6131644641941243,0.6569885514533719,B,843,Correct
2,relearn,69,7,B,49.81443208103386,34.856191454829286,2.490721604051693,0.547519775033055,B,622,Correct
2,relearn,69,8,A,29.37121176334668,61.567004023632684,1.468560588167334,0.9670922377208884,A,770,Correct
2,relearn,69,9,A,17.199457531864862,41.16224272385041,0.8599728765932432,0.6465749967326418,A,696,Correct
2,relearn,69,10,A,15.752548437660394,31.52019913356522,0.7876274218830197,0.4951181301884793,A,681,Correct
2,relearn,69,11,A,40.349953155297676,52.40716248532354,2.0174976577648835,0.8232097832968951,B,590,Incorrect
2,relearn,69,12,B,42.827532295381225,27.277452277730806,2.141376614769061,0.4284732184218264,B,937,Correct
2,relearn,69,13,A,17.862576933092676,34.169206908274305,0.8931288466546338,0.5367286470101208,A,913,Correct
2,relearn,69,14,A,45.38566977618342,70.22874939069611,2.269283488809171,1.1031506157830477,B,817,Incorrect
2,relearn,69,15,B,56.81331410761079,33.34560783313883,2.8406657053805393,0.523791582990376,B,1154,Correct
2,relearn,69,16,A,49.6375898591731,57.5073494691061,2.481879492958655,0.9033233330978233,A,881,Correct
2,relearn,69,17,B,87.62951109714247,60.34267046766199,4.381475554857124,0.9478604511959835,A,1043,Incorrect
2,relearn,69,18,A,42.98853537157474,75.0014157099381,2.149426768578737,1.1781194830158783,A,1019,Correct
2,relearn,69,19,A,64.93483973092488,85.5861259553619,3.246741986546244,1.3443837227528783,A,734,Correct
2,relearn,69,20,A,51.21309657203365,71.4272360501407,2.5606548286016824,1.1219764002067305,B,1703,Incorrect
2,relearn,69,21,A,34.90538577388954,46.58125417085852,1.7452692886944772,0.7316966294908404,B,917,Incorrect
2,relearn,69,22,A,27.965869981593336,54.182837482214445,1.3982934990796667,0.8511020209238729,A,1000,Correct
2,relearn,69,23,A,43.67533697035017,73.57726545096126,2.1837668485175086,1.15574898305983,B,929,Incorrect
2,relearn,69,24,B,70.05401743919683,55.5894161133931,3.5027008719598416,0.8731965063959092,A,1411,Incorrect
2,relearn,69,25,A,42.951131066358904,62.665009303845885,2.147556553317945,0.9843396643304914,A,2047,Correct
2,relearn,69,26,A,39.42666723087277,49.843500667603585,1.9713333615436386,0.7829398776327068,B,928,Incorrect
2,relearn,69,27,A,11.191978221754116,31.88852013897262,0.5595989110877058,0.5009037030122327,A,1706,Correct
2,relearn,69,28,B,55.75294456470529,31.33555852327212,2.7876472282352642,0.4922178022642235,B,1139,Correct
2,relearn,69,29,A,57.31338018887425,80.0459245818515,2.8656690094437125,1.2573584430807363,A,1418,Correct
2,relearn,69,30,B,39.0751489448467,11.802396327445155,1.9537574472423354,0.18539160798528426,B,924,Correct
2,relearn,69,31,A,63.90264502069293,75.34422782539718,3.1951322510346465,1.1835043631333173,A,830,Correct
2,relearn,69,32,A,54.431421608551936,68.09366979321312,2.7215710804275965,1.0696128638916378,A,862,Correct
2,relearn,69,33,A,55.12511249455103,70.2077244366018,2.756255624727552,1.1028203565764239,A,584,Correct
2,relearn,69,34,B,47.33982278756879,32.170824679497784,2.3669911393784395,0.5053381323651772,B,821,Correct
2,relearn,69,35,A,33.67482731252324,56.214867773542046,1.683741365626162,0.8830210780994067,B,1537,Incorrect
2,relearn,69,36,A,49.37353522013361,71.59590424469198,2.4686767610066807,1.124625834011213,A,871,Correct
2,relearn,69,37,B,73.32502120465041,63.16465532839914,3.6662510602325202,0.9921880857311507,A,2062,Incorrect
2,relearn,69,38,A,36.33066534733054,49.64317621851654,1.8165332673665266,0.7797931885447754,A,1562,Correct
2,relearn,69,39,A,13.103577220600094,39.05061026266144,0.6551788610300048,0.6134055515968768,A,1117,Correct
2,relearn,69,40,A,63.73306181038713,84.99171286340284,3.1866530905193566,1.3350467037383973,A,1480,Correct
2,relearn,69,41,A,56.24101545071666,69.09187925261793,2.812050772535833,1.0852927014136877,A,1869,Correct
2,relearn,69,42,A,30.14006640944906,47.53245003751261,1.507003320472453,0.7466379792248674,A,1680,Correct
2,relearn,69,43,A,56.80181356639452,73.34980717663878,2.840090678319726,1.1521760768417815,A,743,Correct
2,relearn,69,44,B,61.948574458841335,39.97514155203971,3.097428722942067,0.6279280551305001,B,940,Correct
2,relearn,69,45,B,61.3282838265809,45.17512172322021,3.066414191329045,0.7096091526534665,B,676,Correct
2,relearn,69,46,B,79.50865050762918,59.97799675086026,3.975432525381459,0.9421321698476752,B,696,Correct
2,relearn,69,47,A,41.01916602785084,61.47524948413395,2.050958301392542,0.9656509607847747,A,1033,Correct
2,relearn,69,48,B,39.995151331435345,15.012306595227528,1.9997575665717673,0.23581276056502204,B,915,Correct
2,relearn,69,49,A,26.108530061531987,39.45751733287955,1.3054265030765992,0.6197972329093315,A,1347,Correct
2,relearn,69,50,B,51.58972115911027,29.111821580312956,2.579486057955513,0.4572874240466399,B,988,Correct
2,relearn,69,51,A,45.187665124824896,55.77415996005168,2.259383256241245,0.8760984559532018,A,907,Correct
2,relearn,69,52,B,69.35801129554443,47.13000041826121,3.4679005647772216,0.7403163153884665,B,2753,Correct
2,relearn,69,53,B,64.71552358330526,46.31236270495721,3.2357761791652626,0.7274728922213973,B,792,Correct
2,relearn,69,54,B,78.17238483581932,51.179603698494034,3.908619241790966,0.8039273349641293,B,744,Correct
2,relearn,69,55,A,43.79126132188398,64.10304170058056,2.189563066094199,1.0069282243965203,A,635,Correct
2,relearn,69,56,B,46.94321646692096,17.04787142681382,2.347160823346048,0.26778733816910816,B,737,Correct
2,relearn,69,57,A,15.567540825904931,42.66661290924745,0.7783770412952465,0.6702055883462561,A,625,Correct
2,relearn,69,58,A,63.85529347590431,76.94516613976131,3.1927646737952156,1.2086518433696012,A,1038,Correct
2,relearn,69,59,B,84.42147674287936,62.25461010011048,4.221073837143968,0.9778931287130201,A,1934,Incorrect
2,relearn,69,60,B,55.25951450631135,30.206989336507426,2.7629757253155676,0.47449027893318474,B,1367,Correct
2,relearn,69,61,A,54.32971752921529,64.82995630806636,2.716485876460764,1.0183465723498428,A,940,Correct
2,relearn,69,62,B,40.526375227361754,30.980196180281496,2.026318761368088,0.48663578363371457,A,908,Incorrect
2,relearn,69,63,A,30.54870905800984,51.55043556118436,1.527435452900492,0.8097523482418539,A,854,Correct
2,relearn,69,64,B,45.58393153190802,18.01439846249606,2.2791965765954014,0.28296950934308446,B,710,Correct
2,relearn,69,65,B,70.4675807279812,53.782330440194535,3.52337903639906,0.8448108710192692,B,1797,Correct
2,relearn,69,66,B,83.21256477355996,60.68995229483397,4.160628238677998,0.9533155413808271,B,852,Correct
2,relearn,69,67,A,25.56845281421058,49.30798675329936,1.278422640710529,0.7745280447373405,A,665,Correct
2,relearn,69,68,A,59.90215591513211,68.74159597637629,2.9951077957566055,1.079790464577107,B,836,Incorrect
2,relearn,69,69,B,54.919126939942586,43.91614949877494,2.7459563469971293,0.6898332631965122,B,1143,Correct
2,relearn,69,70,B,54.38889222817607,24.914442867888475,2.7194446114088033,0.39135515341020527,B,784,Correct
2,relearn,69,71,A,55.88074408767768,67.80065407041401,2.794037204383884,1.0650101836809778,A,982,Correct
2,relearn,69,72,A,53.392397475425994,60.51784854893093,2.6696198737712997,0.9506121420619057,A,815,Correct
2,relearn,69,73,A,32.2568844965822,60.64685509880147,1.61284422482911,0.952638572208597,A,742,Correct
2,relearn,69,74,A,36.91744288836777,48.21237268608525,1.8458721444183885,0.757318179213693,A,726,Correct
2,relearn,69,75,B,47.18793277899487,22.625890559940668,2.3593966389497436,0.35540665782018127,B,636,Correct
2,relearn,69,76,B,75.00234467121362,52.91147902854881,3.750117233560681,0.8311315690332968,A,2132,Incorrect
2,relearn,69,77,B,72.48007924123823,41.39915076622439,3.6240039620619116,0.650296339560134,B,736,Correct
2,relearn,69,78,B,72.22346637698821,56.69056663219969,3.6111733188494104,0.890493338297806,B,799,Correct
2,relearn,69,79,A,50.80764465171431,77.81166861262832,2.5403822325857157,1.2222628323849831,A,779,Correct
2,relearn,69,80,A,65.94401617496648,80.01230106183884,3.2972008087483236,1.2568302860634384,A,1211,Correct
2,relearn,69,81,A,62.521991545979354,88.14881580457174,3.1260995772989677,1.384638360771412,A,719,Correct
2,relearn,69,82,A,28.33045923925433,56.05403266146396,1.4165229619627167,0.8804946860666873,A,988,Correct
2,relearn,69,83,B,39.49259554692995,13.01816091079463,1.9746297773464974,0.20448879340301113,B,860,Correct
2,relearn,69,84,B,87.10188685333681,64.55190521019621,4.35509434266684,1.0139789559178853,A,1837,Incorrect
2,relearn,69,85,B,43.93819113606217,21.21610256748424,2.1969095568031087,0.33326175981908013,B,1529,Correct
2,relearn,69,86,A,32.760283064843755,55.95105443958258,1.6380141532421877,0.8788771079399761,A,1049,Correct
2,relearn,69,87,A,40.18557196199472,54.94766242602065,2.009278598099736,0.863115863047592,A,750,Correct
2,relearn,69,88,A,16.09052246350968,36.481063283524115,0.8045261231754839,0.5730432020333185,A,644,Correct
2,relearn,69,89,A,37.16334049632781,50.53147562499662,1.8581670248163906,0.7937465629927053,A,815,Correct
2,relearn,69,90,B,45.851715794898624,24.948183325306218,2.292585789744931,0.39188514727596696,B,1022,Correct
2,relearn,69,91,B,33.05526148622203,19.878505994914946,1.6527630743111015,0.3122508419898273,B,1544,Correct
2,relearn,69,92,A,46.65094320633347,76.17626153175692,2.3325471603166736,1.1965739180305115,A,895,Correct
2,relearn,69,93,A,33.760810447550824,47.26552477762304,1.6880405223775412,0.7424451270472343,A,2238,Correct
2,relearn,69,94,A,53.330210701293225,60.41406821002872,2.6665105350646616,0.9489819643104943,B,1627,Incorrect
2,relearn,69,95,B,39.90433528788225,17.472548528894205,1.9952167643941123,0.2744581504893259,B,1167,Correct
2,relearn,69,96,A,32.036105542050805,46.88689242363566,1.6018052771025402,0.7364975839387436,A,991,Correct
2,relearn,69,97,B,48.24380142626337,36.643614495144504,2.412190071313168,0.5755965504946121,B,968,Correct
2,relearn,69,98,A,36.67480238974963,68.05591028863718,1.8337401194874814,1.069019738980743,A,706,Correct
2,relearn,69,99,A,53.018031564202154,62.94716172763213,2.650901578210108,0.9887717042392885,A,1064,Correct
2,relearn,69,100,A,53.32779808527343,66.71948270713263,2.6663899042636716,1.0480271836201955,A,1193,Correct
2,relearn,69,101,A,23.729085122434242,53.579020296105064,1.1864542561217122,0.8416172827439105,A,736,Correct
2,relearn,69,102,A,18.55308994336189,34.32972248790031,0.9276544971680946,0.5392500198388197,A,1006,Correct
2,relearn,69,103,B,49.30915659646844,34.544270451902264,2.4654578298234218,0.5426201313765756,A,1566,Incorrect
2,relearn,69,104,A,26.35414858993809,42.15760451357253,1.3177074294969047,0.6622101031639167,A,1364,Correct
2,relearn,69,105,B,56.7292372031921,34.63751317867216,2.8364618601596048,0.5440847847036805,A,2230,Incorrect
2,relearn,69,106,A,24.090647919801,35.94200529461517,1.20453239599005,0.5645756989442424,A,740,Correct
2,relearn,69,107,B,82.53282454584303,66.95836358363233,4.1266412272921515,1.0517795156536685,B,1067,Correct
2,relearn,69,108,B,51.22560929049202,37.51097010719457,2.5612804645246006,0.5892209405889439,B,1361,Correct
2,relearn,69,109,A,44.002402414791284,72.3697246579611,2.200120120739564,1.1367809766388333,A,672,Correct
2,relearn,69,110,B,37.660941447640226,19.49174278992586,1.8830470723820114,0.30617557977246446,B,876,Correct
2,relearn,69,111,B,81.89039035041269,66.43426202521034,4.094519517520634,1.043546947625301,A,1787,Incorrect
2,relearn,69,112,B,64.39051221351652,32.45639196614033,3.2195256106758254,0.5098238128142862,B,1011,Correct
2,relearn,69,113,B,53.78269630153255,22.34660437311367,2.6891348150766277,0.35101964065625724,B,765,Correct
2,relearn,69,114,A,28.500770676689832,60.687489412209615,1.4250385338344915,0.9532768545110303,A,817,Correct
2,relearn,69,115,B,49.35561295155978,24.98142304928377,2.467780647577989,0.39240727563924316,B,789,Correct
2,relearn,69,116,B,49.80296318484197,32.50020445482309,2.4901481592420986,0.5105120177771925,B,855,Correct
2,relearn,69,117,A,54.97859449346289,73.43795689730983,2.7489297246731446,1.1535607294161623,A,644,Correct
2,relearn,69,118,B,54.14028975684502,37.57545353167742,2.7070144878422515,0.5902338438521121,B,937,Correct
2,relearn,69,119,A,38.35559817086089,53.657656082998884,1.9177799085430445,0.8428524907959848,A,897,Correct
2,relearn,69,120,A,16.836584024136865,46.547241477454946,0.8418292012068433,0.7311623593522129,A,754,Correct
2,relearn,69,121,A,54.16651816375969,78.235169264635,2.7083259081879847,1.2289151650706565,A,848,Correct
2,relearn,69,122,A,35.46421310036275,61.13217223786994,1.7732106550181372,0.9602619160023904,A,1408,Correct
2,relearn,69,123,A,33.04153992493115,56.22204789023899,1.6520769962465576,0.8831338631087418,A,628,Correct
2,relearn,69,124,A,59.052528150017565,68.87237176317136,2.9526264075008783,1.0818446858324213,A,1117,Correct
2,relearn,69,125,A,45.293075450185725,67.7032067008409,2.264653772509286,1.063479483979165,A,852,Correct
2,relearn,69,126,B,74.00835802777291,49.23549898668573,3.700417901388646,0.7733894095619979,B,784,Correct
2,relearn,69,127,B,46.95269713482737,38.81179267580841,2.3476348567413683,0.6096542137148493,A,1536,Incorrect
2,relearn,69,128,A,44.593225047574336,51.70931961680558,2.2296612523787167,0.812248093151415,B,1642,Incorrect
2,relearn,69,129,B,52.251972561256714,32.0833457897324,2.6125986280628357,0.5039640171780216,B,1586,Correct
2,relearn,69,130,B,64.48811542861316,45.915063886396695,3.2244057714306575,0.7212321369730493,B,1128,Correct
2,relearn,69,131,A,61.16742179658242,70.50978804777225,3.0583710898291208,1.1075651606852734,A,1158,Correct
2,relearn,69,132,A,60.57636835470093,74.09715064838437,3.028818417735047,1.1639153206445025,A,2219,Correct
2,relearn,69,133,A,49.79542906768139,77.7126649023604,2.4897714533840696,1.220707685740704,A,912,Correct
2,relearn,69,134,B,36.90871606445914,12.230021257804733,1.8454358032229572,0.19210872468383175,B,832,Correct
2,relearn,69,135,B,88.36243381556072,64.76364175628557,4.418121690778036,1.0173049058063395,B,942,Correct
2,relearn,69,136,B,69.89903010471387,54.830673785968685,3.4949515052356936,0.8612782097868883,B,969,Correct
2,relearn,69,137,A,14.439830710109337,33.09102773456462,0.7219915355054668,0.5197926481532215,A,586,Correct
2,relearn,69,138,A,55.292933358897194,83.99848855975597,2.76464666794486,1.3194451728598784,A,1124,Correct
2,relearn,69,139,A,58.579845974842314,79.39065783547301,2.928992298742116,1.247065537097915,A,827,Correct
