experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,66,0,B,66.08694992535843,34.048420116610295,3.3043474962679213,0.5348313325234092,B,1115,Correct
2,new_learn,66,1,B,43.00847475772903,29.474946966583268,2.1504237378864515,0.46299138427583375,B,733,Correct
2,new_learn,66,2,B,55.31515208991591,46.06984597237426,2.7657576044957954,0.7236634482941215,B,513,Correct
2,new_learn,66,3,A,47.285350884968906,54.697556279956274,2.3642675442484453,0.8591872048921243,B,488,Incorrect
2,new_learn,66,4,A,48.22782588852846,67.92929885346443,2.411391294426423,1.067030931207747,B,937,Incorrect
2,new_learn,66,5,B,51.12945784089019,19.828195358342796,2.5564728920445092,0.3114605643585649,B,1044,Correct
2,new_learn,66,6,B,53.91839071855665,24.774926750305113,2.6959195359278327,0.38916363935991893,B,587,Correct
2,new_learn,66,7,B,32.49295256415296,15.238275606313518,1.624647628207648,0.23936227349085548,A,1020,Incorrect
2,new_learn,66,8,B,67.9964722378531,41.018773193057996,3.399823611892655,0.6443213826128847,B,1646,Correct
2,new_learn,66,9,B,69.8661314941032,48.98895902448202,3.4933065747051604,0.7695167688916205,B,687,Correct
2,new_learn,66,10,B,62.381908568627246,53.356273878533955,3.1190954284313626,0.8381183901986361,B,663,Correct
2,new_learn,66,11,B,53.94165299924361,37.27249885617132,2.69708264996218,0.5854750429374089,A,837,Incorrect
2,new_learn,66,12,A,56.84113927490489,79.78070719399807,2.8420569637452444,1.2531924180943135,A,960,Correct
2,new_learn,66,13,B,38.25643076909158,20.737204696101912,1.912821538454579,0.3257392496463076,B,768,Correct
2,new_learn,66,14,B,72.14338192578731,59.59607489748343,3.6071690962893657,0.9361329554036052,B,1363,Correct
2,new_learn,66,15,B,73.99919031391386,63.65325269616906,3.699959515695693,0.999862955236897,B,625,Correct
2,new_learn,66,16,A,28.45959769559086,55.056244368689995,1.4229798847795427,0.8648214642146044,B,1008,Incorrect
2,new_learn,66,17,A,59.112937942017666,69.34057101093563,2.955646897100883,1.0891991424183838,A,844,Correct
2,new_learn,66,18,A,23.586088159891766,51.44828691675322,1.1793044079945885,0.8081478010872587,A,749,Correct
2,new_learn,66,19,A,25.284705944908755,56.62312574333892,1.2642352972454376,0.8894339792928231,A,1124,Correct
2,new_learn,66,20,B,83.74035327102072,55.66142652781328,4.187017663551035,0.8743276433405311,B,618,Correct
2,new_learn,66,21,A,17.562441761789866,45.68349074789475,0.8781220880894933,0.717594594619617,A,769,Correct
2,new_learn,66,22,B,38.35151305120897,20.407864271881973,1.9175756525604484,0.3205659823600101,A,1451,Incorrect
2,new_learn,66,23,A,14.311425759652384,35.336849619636,0.7155712879826192,0.5550699358302786,A,633,Correct
2,new_learn,66,24,B,78.31998439559906,50.745872909271654,3.9159992197799536,0.7971143076588457,B,673,Correct
2,new_learn,66,25,A,58.951542933781624,81.30624811461433,2.947577146689081,1.2771555588391068,A,1533,Correct
2,new_learn,66,26,A,60.725312853077924,82.99776463690755,3.036265642653896,1.3037258382384174,A,593,Correct
2,new_learn,66,27,A,37.180448689038414,51.97676574526622,1.8590224344519208,0.8164491271134299,B,858,Incorrect
2,new_learn,66,28,B,84.66197233078583,57.920447120425194,4.233098616539292,0.9098122558308193,B,492,Correct
2,new_learn,66,29,B,51.989004919888856,43.73352018276494,2.599450245994443,0.6869645286089764,B,917,Correct
2,new_learn,66,30,B,53.61424275715591,36.44520075728499,2.6807121378577956,0.5724798747884583,B,646,Correct
2,new_learn,66,31,B,60.41519153959524,43.13307810356643,3.020759576979762,0.6775328064843954,B,606,Correct
2,new_learn,66,32,B,54.93130718103811,32.42570078236119,2.7465653590519055,0.5093417168268336,B,577,Correct
2,new_learn,66,33,A,62.89935334997017,85.00251432538481,3.1449676674985083,1.3352163727064503,A,607,Correct
2,new_learn,66,34,B,72.39583135594005,47.01198058582865,3.6197915677970025,0.7384624641957263,B,747,Correct
2,new_learn,66,35,B,46.05368220901961,16.78525933165601,2.3026841104509805,0.26366223702465025,A,1807,Incorrect
2,new_learn,66,36,B,33.82946843741355,12.282411482744553,1.6914734218706775,0.192931668412786,A,711,Incorrect
2,new_learn,66,37,A,18.210067354317136,46.1493764144961,0.9105033677158567,0.7249127095576551,A,715,Correct
2,new_learn,66,38,A,25.831555734629102,50.62970996631013,1.291577786731455,0.7952896244177091,A,1697,Correct
2,new_learn,66,39,B,82.35319314038944,63.17517449573097,4.1176596570194715,0.9923533204252084,B,492,Correct
2,new_learn,66,40,B,55.06950098436123,44.926411670885074,2.7534750492180615,0.7057024242870165,B,462,Correct
2,new_learn,66,41,A,22.038220782875356,39.37514986064909,1.1019110391437679,0.6185034076810616,B,832,Incorrect
2,new_learn,66,42,A,30.205051284719005,52.35703415500293,1.5102525642359501,0.8224223693255356,A,866,Correct
2,new_learn,66,43,A,30.357030571497862,59.096732446392856,1.5178515285748932,0.9282893025237468,A,681,Correct
2,new_learn,66,44,B,83.38977387948859,66.10898511380414,4.169488693974429,1.0384375098490204,A,1240,Incorrect
2,new_learn,66,45,A,16.676593160995125,39.50959397408878,0.8338296580497563,0.6206152508765643,A,667,Correct
2,new_learn,66,46,B,71.18512836951818,53.57410838893517,3.559256418475909,0.8415401266865102,B,694,Correct
2,new_learn,66,47,A,57.62320944818361,77.55399522439203,2.88116047240918,1.2182153082674394,A,820,Correct
2,new_learn,66,48,B,84.89762169322464,57.64192357822249,4.244881084661232,0.9054372182606402,B,745,Correct
2,new_learn,66,49,A,50.95204337771137,59.601677094617195,2.5476021688855686,0.9362209545104022,B,935,Incorrect
2,new_learn,66,50,A,35.03438802799043,59.939337173074556,1.7517194013995214,0.9415249066198631,B,885,Incorrect
2,new_learn,66,51,A,45.789265092358036,57.68850697744486,2.289463254617902,0.9061689485845215,B,609,Incorrect
