experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,54,0,A,53.64130960499221,69.91679733716774,2.6820654802496104,1.0982504843848628,B,4656,Incorrect
2,new_learn,54,1,A,40.32705316129997,56.49113402312973,2.0163526580649984,0.8873606582001039,B,5430,Incorrect
2,new_learn,54,2,A,44.44481782555157,76.71066159746808,2.2222408912775786,1.2049682546330918,A,2861,Correct
2,new_learn,54,3,A,38.6599120517465,59.494495442836744,1.9329956025873252,0.9345373490612368,A,7405,Correct
2,new_learn,54,4,A,20.95457909835235,40.2742261369102,1.0477289549176176,0.6326260648036557,B,4026,Incorrect
2,new_learn,54,5,A,18.901101893381067,43.267428154636754,0.9450550946690534,0.679643172151655,A,5409,Correct
2,new_learn,54,6,A,31.62366692535253,52.83429312634636,1.5811833462676264,0.8299191357166971,B,2181,Incorrect
2,new_learn,54,7,A,50.196140390171784,57.53080853833726,2.5098070195085893,0.9036918272956064,A,2066,Correct
2,new_learn,54,8,A,47.984508179605896,68.90837005277916,2.3992254089802945,1.0824101456432895,B,2745,Incorrect
2,new_learn,54,9,B,87.05714057852698,69.23460836176287,4.352857028926349,1.0875346850174035,A,5019,Incorrect
2,new_learn,54,10,B,75.28445754675559,53.65679184380729,3.764222877337779,0.8428389153585085,A,6600,Incorrect
2,new_learn,54,11,B,47.418075288408126,32.81338209196809,2.3709037644204063,0.5154314005978091,A,6990,Incorrect
2,new_learn,54,12,A,62.359618351312676,81.8320076376937,3.117980917565634,1.2854141701154118,B,5961,Incorrect
2,new_learn,54,13,A,13.571456973136382,38.065292079522095,0.678572848656819,0.5979282097688817,A,5181,Correct
2,new_learn,54,14,A,48.66868820844163,80.31750419110543,2.4334344104220818,1.2616244056072212,B,8937,Incorrect
2,new_learn,54,15,A,33.21340443055356,63.04583978303822,1.660670221527678,0.9903217355089597,A,8542,Correct
2,new_learn,54,16,A,55.13863950490486,80.004256701506,2.756931975245243,1.256703925546816,A,6674,Correct
2,new_learn,54,17,A,24.770738057595796,45.27659579427534,1.2385369028797897,0.7112031036342495,B,2978,Incorrect
2,new_learn,54,18,B,45.88446784902033,29.21667966017464,2.2942233924510167,0.458934530913455,A,7061,Incorrect
2,new_learn,54,19,A,62.82071396369449,79.07627691845414,3.1410356981847247,1.2421272532012382,A,8004,Correct
2,new_learn,54,20,B,85.14525982651003,56.28009320195554,4.257262991325502,0.8840456367330617,B,7133,Correct
2,new_learn,54,21,A,65.14242445204995,76.52268585896904,3.257121222602498,1.2020155386374833,A,1794,Correct
2,new_learn,54,22,A,27.43667904317809,49.90689966954833,1.3718339521589045,0.7839357468264795,B,4488,Incorrect
2,new_learn,54,23,A,28.473319062968066,43.27941391599768,1.4236659531484035,0.6798314440508508,A,2786,Correct
2,new_learn,54,24,B,76.19871809705937,60.10698403741738,3.809935904852969,0.944158297406947,B,1018,Correct
2,new_learn,54,25,A,61.008667370404865,83.3238355091202,3.050433368520243,1.3088477475218818,A,1198,Correct
2,new_learn,54,26,B,86.6568918336936,63.42558908985136,4.3328445916846805,0.9962868236714096,B,2804,Correct
2,new_learn,54,27,B,52.487290439843406,40.679686759558095,2.62436452199217,0.6389950253708084,A,1908,Incorrect
2,new_learn,54,28,B,48.18802953446527,19.282695058279575,2.4094014767232634,0.30289186568251664,A,1606,Incorrect
2,new_learn,54,29,B,40.94572351381218,15.056669573007088,2.0472861756906093,0.23650961259044018,B,6794,Correct
2,new_learn,54,30,B,68.11080691952631,43.49346019783066,3.405540345976316,0.6831936751835244,A,3294,Incorrect
2,new_learn,54,31,B,79.12979442154023,58.627365857330844,3.9564897210770114,0.9209165093835583,A,2341,Incorrect
2,new_learn,54,32,B,71.61464602747597,58.11347171104224,3.580732301373798,0.9128442790100428,B,8337,Correct
2,new_learn,54,33,B,35.838494556997645,22.680383239138582,1.7919247278498824,0.35626262682339416,A,5395,Incorrect
2,new_learn,54,34,A,23.717189845744233,35.14488670958336,1.1858594922872117,0.5520545894903631,A,6284,Correct
2,new_learn,54,35,B,64.55703360393743,38.666511056938965,3.2278516801968715,0.6073721353821397,B,599,Correct
2,new_learn,54,36,B,72.15784083328472,40.96005671409086,3.6078920416642357,0.6433990663180457,B,658,Correct
2,new_learn,54,37,B,37.29806844210171,18.124291969725608,1.8649034221050855,0.2846957125180323,A,439,Incorrect
2,new_learn,54,38,B,56.5280576239603,48.51180362270007,2.826402881198015,0.7620216293673263,B,755,Correct
2,new_learn,54,39,B,40.43106665545493,20.725429643950136,2.021553332772746,0.32555428755962934,A,1348,Incorrect
2,new_learn,54,40,A,58.18993660519923,71.20408319644599,2.9094968302599615,1.1184711233777558,B,690,Incorrect
2,new_learn,54,41,B,55.66539129405496,34.986177814508,2.783269564702748,0.5495615959962227,B,1132,Correct
2,new_learn,54,42,B,50.10755140835249,43.291041032321274,2.5053775704176244,0.680014082366974,B,792,Correct
2,new_learn,54,43,B,85.76114258726236,69.13178411372405,4.288057129363118,1.0859195255061553,B,913,Correct
2,new_learn,54,44,A,51.18124779544141,77.97683863811017,2.5590623897720706,1.2248573170782182,A,801,Correct
2,new_learn,54,45,B,50.87299021070421,23.531540732128317,2.5436495105352104,0.36963257745851646,B,936,Correct
2,new_learn,54,46,B,60.11824242925171,38.81448461308387,3.0059121214625857,0.6096964985666917,B,1008,Correct
2,new_learn,54,47,A,49.90150001734055,58.24465902153262,2.4950750008670273,0.9149049644644467,B,1331,Incorrect
2,new_learn,54,48,B,63.64353920730964,52.004753302539086,3.182176960365482,0.8168887546350316,B,564,Correct
2,new_learn,54,49,B,41.576652625254624,32.823582580958664,2.078832631262731,0.5155916295041882,A,711,Incorrect
2,new_learn,54,50,B,44.77796329362687,20.075174749995753,2.2388981646813435,0.3153401075705898,B,959,Correct
2,new_learn,54,51,B,37.77881293379532,15.957744123711414,1.8889406466897662,0.25066365853458733,B,1548,Correct
2,new_learn,54,52,A,14.435220998633845,38.60150076308842,0.7217610499316922,0.6063509560742969,A,882,Correct
2,new_learn,54,53,B,77.0391514213072,65.2791889136605,3.85195757106536,1.0254031016172807,B,802,Correct
2,new_learn,54,54,B,64.02744992992666,31.43751436634367,3.201372496496333,0.49381932090214437,B,441,Correct
2,new_learn,54,55,A,20.996043977067878,40.99945592200861,1.0498021988533939,0.6440179476288038,A,550,Correct
2,new_learn,54,56,B,51.466176983341406,34.984551001157925,2.5733088491670704,0.5495360420718759,B,563,Correct
2,new_learn,54,57,B,36.95428701966056,20.611278291346295,1.8477143509830283,0.32376120230594146,A,740,Incorrect
2,new_learn,54,58,B,74.94575376100616,45.57797416213378,3.747287688050308,0.7159371439663244,B,1077,Correct
2,new_learn,54,59,B,83.48060834075119,67.48184681884794,4.174030417037559,1.0600023710838222,B,511,Correct
2,new_learn,54,60,B,49.59079828329814,41.77158133637626,2.4795399141649073,0.6561464652759408,B,691,Correct
2,new_learn,54,61,A,25.170796116766027,57.655457008526035,1.2585398058383013,0.9056498008867376,A,572,Correct
2,new_learn,54,62,B,73.87720232764617,54.52698813182173,3.6938601163823086,0.856507926686545,B,516,Correct
2,new_learn,54,63,B,43.16483015078003,26.381385071421,2.1582415075390013,0.41439782765949834,B,587,Correct
2,new_learn,54,64,B,37.0472725445512,14.741618444282857,1.8523636272275599,0.23156080103291407,A,564,Incorrect
2,new_learn,54,65,A,20.181068312449295,51.830369912319185,1.0090534156224649,0.814149546746917,A,606,Correct
2,new_learn,54,66,A,51.627177442771256,60.96073228781356,2.581358872138563,0.9575689435642462,B,863,Incorrect
2,new_learn,54,67,B,60.35585728702094,33.25387941048016,3.017792864351047,0.5223507162966268,B,493,Correct
2,new_learn,54,68,A,30.013914094927728,43.48391236354,1.5006957047463862,0.6830436981531982,A,1027,Correct
2,new_learn,54,69,A,45.18975928404807,63.583441178214365,2.2594879642024037,0.9987663584771849,B,463,Incorrect
2,new_learn,54,70,B,36.96803606264531,22.244048453171732,1.8484018031322653,0.34940869603289854,107,732,Correct
2,new_learn,54,71,B,46.72521943581506,18.54221301311307,2.336260971790753,0.2912604009164654,107,1900,Correct
2,new_learn,54,72,A,27.538246288165645,60.316009500350596,1.3769123144082824,0.9474416617007679,A,635,Correct
2,new_learn,54,73,B,84.43456304650343,58.59950429115604,4.221728152325171,0.9204788609254968,B,578,Correct
2,new_learn,54,74,A,31.264673394030623,56.15018072615645,1.5632336697015312,0.8820049763351615,A,1040,Correct
2,new_learn,54,75,B,62.93258900234842,52.30392543207958,3.1466294501174215,0.8215881394566479,B,559,Correct
2,new_learn,54,76,B,74.97089000287632,51.028959981181146,3.748544500143816,0.8015610289860311,B,650,Correct
2,new_learn,54,77,B,44.5570765090263,18.002489712544335,2.227853825451315,0.2827824471362756,A,828,Incorrect
2,new_learn,54,78,B,63.06894204153055,31.93250092949007,3.153447102076527,0.5015945516541762,B,337,Correct
2,new_learn,54,79,B,84.23230163378817,57.20877917647624,4.211615081689408,0.8986334019082924,B,373,Correct
2,new_learn,54,80,A,41.9785084977619,54.9022641554097,2.0989254248880953,0.8624027486804067,A,1211,Correct
2,new_learn,54,81,B,61.27352568128807,48.66641318432812,3.0636762840644036,0.7644502306822534,B,512,Correct
2,new_learn,54,82,A,51.30806317632861,62.303255196528355,2.5654031588164306,0.9786572441007179,B,576,Incorrect
2,new_learn,54,83,B,61.08477908109633,41.48127127915105,3.0542389540548163,0.6515862855607312,B,467,Correct
2,new_learn,54,84,A,10.83200002966366,30.803257834449624,0.541600001483183,0.4838564425966959,A,642,Correct
2,new_learn,54,85,A,50.08608259532645,65.17956367762746,2.5043041297663224,1.0238381920691126,B,1221,Incorrect
2,new_learn,54,86,A,54.72442636734188,65.17714188932035,2.736221318367094,1.0238001507073418,B,838,Incorrect
2,new_learn,54,87,B,75.12937091841992,50.40419635324189,3.756468545920996,0.7917472648672109,B,477,Correct
2,new_learn,54,88,A,37.36467893029076,65.67730813751224,1.868233946514538,1.0316567437618078,A,1326,Correct
2,new_learn,54,89,A,60.321210197038084,70.10153681078471,3.0160605098519047,1.1011523652505786,B,1138,Incorrect
2,new_learn,54,90,A,25.09173364309131,41.53089990352821,1.2545866821545655,0.6523658501694864,A,621,Correct
2,new_learn,54,91,A,20.932078225201042,48.018544316552415,1.046603911260052,0.7542735303047851,A,1185,Correct
2,new_learn,54,92,A,52.85915445907422,68.91403936917843,2.6429577229537107,1.0824991990570436,A,1063,Correct
2,new_learn,54,93,B,63.50266943819321,32.231291062639265,3.1751334719096604,0.5062879360905094,B,792,Correct
2,new_learn,54,94,A,17.50331934504505,32.623043624378155,0.8751659672522524,0.5124415709404287,A,563,Correct
2,new_learn,54,95,A,53.01931157339153,71.04705621888297,2.6509655786695765,1.116004549382119,A,1284,Correct
2,new_learn,54,96,A,54.925233394794034,70.56697855487421,2.7462616697397015,1.1084635070701065,B,756,Incorrect
2,new_learn,54,97,B,39.96368722743426,26.272664384943212,1.998184361371713,0.41269004710983903,B,2308,Correct
2,new_learn,54,98,B,39.18967622189912,25.85751058552151,1.959483811094956,0.4061688264779734,B,850,Correct
2,new_learn,54,99,B,47.2713425865755,30.613138006225356,2.363567129328775,0.48087004731844035,B,687,Correct
2,new_learn,54,100,B,77.70809676930207,55.26200249694038,3.885404838465104,0.8680535053352435,B,545,Correct
2,new_learn,54,101,B,49.38903468379968,30.96236860229404,2.4694517341899838,0.4863557486935311,B,624,Correct
2,new_learn,54,102,A,46.68002576990764,65.60035847369019,2.334001288495382,1.0304480212690104,A,632,Correct
2,new_learn,54,103,A,19.125419419656737,43.88652779499772,0.9562709709828369,0.6893679665616455,A,573,Correct
2,new_learn,54,104,B,62.43439223508999,54.94783132384403,3.1217196117544996,0.8631185160883976,B,894,Correct
2,new_learn,54,105,B,46.604367949769525,17.879823330249497,2.3302183974884763,0.2808556081089761,B,480,Correct
2,new_learn,54,106,A,44.48921686834474,75.96765657374634,2.224460843417237,1.1932971590125692,A,637,Correct
2,new_learn,54,107,B,60.13989117419269,44.34490454698091,3.0069945587096343,0.6965681317446792,B,575,Correct
2,new_learn,54,108,B,82.5305674989359,66.62828283334052,4.126528374946795,1.0465946193526274,B,514,Correct
2,new_learn,54,109,A,26.144136698820244,41.30078581675099,1.3072068349410122,0.6487512265469522,A,475,Correct
2,new_learn,54,110,A,28.180628859874297,58.07755705342845,1.409031442993715,0.9122801328874643,A,587,Correct
2,new_learn,54,111,B,82.11662924975653,60.34834134779309,4.105831462487827,0.9479495291727796,B,513,Correct
2,new_learn,54,112,B,72.41190783057391,63.07382249370358,3.6205953915286955,0.9907612869002291,B,577,Correct
2,new_learn,54,113,A,38.541678199268986,57.64209678853195,1.9270839099634491,0.905439939041819,A,1106,Correct
2,new_learn,54,114,B,56.19008314762467,29.376622004980405,2.8095041573812334,0.46144689939065353,B,528,Correct
2,new_learn,54,115,B,69.82021937205612,46.942134863280245,3.4910109686028057,0.7373653301515126,A,665,Incorrect
