experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,73,0,A,15.15654129532276,34.251913969387545,0.7578270647661381,0.5380278064880876,A,1357,Correct
2,relearn,73,1,A,50.79426125144926,81.28532678733833,2.5397130625724627,1.2768269273987387,A,864,Correct
2,relearn,73,2,B,48.957255279091335,19.52022115137911,2.4478627639545665,0.30662291682810355,A,876,Incorrect
2,relearn,73,3,A,31.669267604018344,58.480952437046504,1.583463380200917,0.918616652755797,A,1961,Correct
2,relearn,73,4,B,41.45602759232233,25.326474449143785,2.0728013796161164,0.3978273303537986,B,631,Correct
2,relearn,73,5,B,46.25500873170727,35.2442837108649,2.3127504365853637,0.5536159139354379,B,847,Correct
2,relearn,73,6,A,68.63941884270275,88.24462846238814,3.4319709421351376,1.3861433824809966,B,694,Incorrect
2,relearn,73,7,A,45.167740715678825,77.27497345035236,2.2583870357839415,1.2138324444898665,B,1992,Incorrect
2,relearn,73,8,A,56.16796454723341,63.761335818048614,2.8083982273616703,1.0015607209452664,B,939,Incorrect
2,relearn,73,9,B,46.84605479184087,38.53347828496472,2.3423027395920433,0.605282461486535,A,1278,Incorrect
2,relearn,73,10,B,36.5653385610196,21.634322724417764,1.82826692805098,0.33983114668210784,A,2001,Incorrect
2,relearn,73,11,B,80.59520119846323,60.51061339624965,4.029760059923161,0.9504984925493501,B,1168,Correct
2,relearn,73,12,A,48.143672067334535,79.79311994969045,2.4071836033667267,1.2533873972047835,B,2438,Incorrect
2,relearn,73,13,B,66.3626692741477,52.25558005569582,3.3181334637073854,0.8208287320602367,A,1268,Incorrect
2,relearn,73,14,B,51.49031066501592,43.45583399542331,2.574515533250796,0.6826026441781973,A,2836,Incorrect
2,relearn,73,15,A,34.04529831712139,42.08170632557095,1.7022649158560696,0.6610178972146842,A,2586,Correct
2,relearn,73,16,A,40.195847263409924,51.79416608230152,2.009792363170496,0.8135808583148405,A,1407,Correct
2,relearn,73,17,A,26.651309315131293,52.66837957614476,1.3325654657565646,0.8273129717644753,A,1604,Correct
2,relearn,73,18,A,61.43261461676735,71.14983994967407,3.0716307308383675,1.117619072449928,A,1750,Correct
2,relearn,73,19,A,43.3890455214019,67.3342577153633,2.169452276070095,1.057684046867536,A,1597,Correct
2,relearn,73,20,B,77.30743209378019,57.82620134493325,3.86537160468901,0.9083318466512326,A,1174,Incorrect
2,relearn,73,21,B,48.99217423877734,35.25029160057099,2.449608711938867,0.553710285646259,B,1318,Correct
2,relearn,73,22,B,62.70508209333427,51.32965169681179,3.1352541046667137,0.8062842834101337,B,1573,Correct
2,relearn,73,23,A,51.426750834758664,77.92195451283273,2.571337541737933,1.2239951992543667,A,841,Correct
2,relearn,73,24,B,43.22431106070867,21.29954366748304,2.1612155530354333,0.33457244955289855,B,637,Correct
2,relearn,73,25,A,22.233333576384656,46.270528151422454,1.1116666788192326,0.7268157565911423,A,772,Correct
